ID,Nome,Idade,Curso,Nota,Frequencia,Data_Matricula,Aprovado
1,Ana Souza,18.0,Front-End,7.5,92,14/03/2026,Sim
2,Bruno Lima,18.0,Java,8.0,99,03/08/2026,Sim
3,Carla Mendes,23.0,Machine Learning,7.7,91,21/03/2026,Sim
4,Diego Alves,22.0,Machine Learning,7.2,60,03/12/2026,Não
5,Eduarda Costa,18.0,Python,6.4,66,03/01/2026,Não
6,Felipe Martins,17.0, Python ,8.4,73,26/02/2026,Não
7,Gabriela Rocha,21.0,Python,9.9,82,24/03/2026,Sim
8,Henrique Dias,23.0,Machine Learning,8.2,81,02/06/2026,Sim
9,Isabela Gomes,22.0,Machine Learning,6.5,89,02/10/2026,Não
10,João Oliveira,27.0,Machine Learning,6.5,83,24/02/2026,Não
11,Karen Ribeiro,24.0,Banco De Dados,5.5,85,03/08/2026,Não
12,Lucas Pereira,24.0,Python,7.1,98,29/03/2026,Sim
13,Mariana Silva,24.0,Banco De Dados,8.1,76,27/03/2026,Sim
14,Nicolas Santos,23.0,Machine Learning,9.6,90,03/05/2026,Sim
15,Olivia Castro,25.0,Python,7.9,68,12/03/2026,Não
16,  Pedro Almeida ,17.0,Machine Learning,9.4,66,18/03/2026,Não
17,Rafaela Nunes,26.0,Banco De Dados,7.4,90,29/03/2026,Sim
18,Samuel Cardoso,20.0,Python,8.1,89,16/03/2026,Sim
19,Tatiane Freitas,24.0,Machine Learning,6.3,85,15/03/2026,Não
20,Vinicius Moraes,21.0,Machine Learning,9.0,92,17/03/2026,Sim
